REPORT_DATE,Two_States_num_of_crashes
2022-10-25,8
2022-10-26,9
2022-10-27,8
2022-10-28,18
2022-10-29,4
2022-10-30,5
2022-10-31,13
2022-11-01,15
2022-11-02,21
2022-11-03,21
2022-11-04,17
2022-11-05,6
2022-11-06,2
2022-11-07,11
2022-11-08,14
2022-11-09,11
2022-11-10,14
2022-11-11,10
2022-11-12,2
2022-11-13,4
2022-11-14,12
2022-11-15,13
2022-11-16,13
2022-11-17,14
2022-11-18,11
2022-11-19,4
2022-11-20,4
2022-11-21,13
2022-11-22,10
2022-11-23,12
2022-11-24,2
2022-11-25,11
2022-11-26,4
2022-11-27,3
2022-11-28,16
2022-11-29,18
2022-11-30,17
2022-12-01,14
2022-12-02,17
2022-12-03,6
2022-12-04,8
2022-12-05,12
2022-12-06,11
2022-12-07,17
2022-12-08,10
2022-12-09,12
2022-12-10,5
2022-12-11,6
2022-12-12,16
2022-12-13,10
2022-12-14,14
2022-12-15,24
2022-12-16,13
2022-12-17,8
2022-12-18,4
2022-12-19,13
2022-12-20,18
2022-12-21,25
2022-12-22,10
2022-12-23,5
2022-12-24,4
2022-12-26,4
2022-12-27,10
2022-12-28,3
2022-12-29,7
2022-12-30,12
2022-12-31,3
2023-01-01,3
2023-01-02,6
2023-01-03,10
2023-01-04,11
2023-01-05,14
2023-01-06,7
2023-01-07,2
2023-01-08,3
2023-01-09,11
2023-01-10,11
2023-01-11,10
2023-01-12,8
2023-01-13,10
2023-01-14,3
2023-01-15,1
2023-01-16,4
2023-01-17,14
2023-01-18,17
2023-01-19,15
2023-01-20,6
2023-01-21,3
2023-01-22,2
2023-01-23,12
2023-01-24,11
2023-01-25,11
2023-01-26,5
2023-01-27,11
2023-01-28,3
2023-02-03,1
2023-02-14,1
2023-02-18,1
2023-02-21,2
2023-03-07,1
2023-03-08,1
2023-03-09,1
2023-04-06,1
2023-04-09,1
2023-04-10,1
2023-04-12,1
2023-04-13,2
2023-05-04,1
2023-05-28,1
2023-06-03,1
2023-06-17,1
2023-06-19,1
2023-07-05,1
2023-07-09,1
2023-07-12,1
2023-07-17,1
2023-07-18,1
2023-07-19,1
2023-08-24,1
2023-08-28,1
2023-09-08,1
2023-09-10,1
2023-09-17,1
2023-09-29,1
2023-11-09,1
2023-11-10,1
2023-11-15,1
2023-11-16,1
2023-12-01,1
2023-12-12,1
2023-12-15,4
2023-12-17,1
2023-12-20,2
2023-12-23,1
2024-01-10,1
2024-01-20,1
2024-01-29,2
2024-01-30,1
2024-02-06,1
2024-02-07,1
2024-02-13,1
2024-02-14,1
2024-02-22,1
2024-03-15,1
2024-04-01,1
2024-04-23,1
2024-04-26,1
2024-05-08,1
2024-06-06,1
2024-06-22,1
2024-06-24,1
2024-06-27,1
2024-08-01,1
